,News Source,Tweet,Tweets Ago,Date,Compound,Positive,Neutral,Negative
44,@BBCNews,Endangered black rhinos die in Kenya reserve https://t.co/IZM5lNbHiQ,45,Fri Jul 13 13:23:05 +0000 2018,-0.5994,0.0,0.358,0.642
45,@BBCNews,"RT @BBCBreaking: ""Whatever you do is ok with us, just make sure we can trade together that's all that matters"" - President Trump on #Brexit…",46,Fri Jul 13 13:15:45 +0000 2018,0.5574,0.211,0.0,0.789
46,@BBCNews,Syria war: Anti-IS strike 'kills many civilians' https://t.co/hf1RJdMmGO,47,Fri Jul 13 13:15:00 +0000 2018,-0.836,0.0,0.64,0.36
47,@BBCNews,Facebook will not remove fake news - but will 'demote' it https://t.co/sWlzqFNSBn,48,Fri Jul 13 13:05:45 +0000 2018,0.1967,0.151,0.0,0.849
48,@BBCNews,"""We agreed today to pursue an ambitious US/UK free-trade agreement"" - Theresa May tells Chequers press conference… https://t.co/Z4VbtkHLrt",49,Fri Jul 13 13:01:35 +0000 2018,0.8126,0.375,0.0,0.625
49,@BBCNews,Follow latest developments &amp; Chequers press conference: https://t.co/BlLsEwC8Y6 #TrumpVisitUK https://t.co/ux88zOf2R7,50,Fri Jul 13 12:55:31 +0000 2018,0.0,0.0,0.0,1.0
50,@BBCNews,Trump's UK visit and protests https://t.co/W8klvrISKk,51,Fri Jul 13 12:41:42 +0000 2018,-0.2263,0.0,0.275,0.725
51,@BBCNews,"Follow our ongoing coverage of #TrumpVisitUK &amp; the Chequers press conference

https://t.co/BlLsEwC8Y6 https://t.co/asoRgMRugA",52,Fri Jul 13 12:41:35 +0000 2018,0.0,0.0,0.0,1.0
52,@BBCNews,RT @BBCJamesCook: At Chequers. News conference between President Trump and Theresa May due to start shortly. https://t.co/hQgMZAL2Zc,53,Fri Jul 13 12:30:06 +0000 2018,0.0,0.0,0.0,1.0
53,@BBCNews,Stig of the Dump author Clive King dies aged 94 https://t.co/alSSWREpy6,54,Fri Jul 13 12:26:10 +0000 2018,-0.3818,0.0,0.206,0.794
54,@BBCNews,Christ's Hospital School teacher jailed for pupil rape https://t.co/9LswM78na4,55,Fri Jul 13 12:21:14 +0000 2018,-0.836,0.0,0.53,0.47
55,@BBCNews,"RT @bbctennis: We predicted an ace to start...but we got a double fault from Kevin Anderson 😮

The South African recovers to hold in the op…",56,Fri Jul 13 12:15:01 +0000 2018,-0.4019,0.0,0.091,0.909
56,@BBCNews,"RT @BBCSport: We're rolling back through the #worldcup on @BBCMOTD , remembering all those incredible moments from the tournament.

Tell us…",57,Fri Jul 13 12:14:49 +0000 2018,0.0,0.0,0.0,1.0
57,@BBCNews,Poundworld to close another 80 stores https://t.co/aO4ntzpnhI,58,Fri Jul 13 12:13:12 +0000 2018,0.0,0.0,0.0,1.0
58,@BBCNews,6 Things we learned from the Emmy nominations https://t.co/hROUPNFpgY,59,Fri Jul 13 12:00:54 +0000 2018,0.0,0.0,0.0,1.0
59,@BBCNews,"RT @BBCSport: Struggling for reasons to watch #BEL v #ENG in Saturday's third-fourth place play-off at the #WorldCup?

We've got five for y…",60,Fri Jul 13 11:41:38 +0000 2018,-0.4215,0.0,0.118,0.882
60,@BBCNews,"RT @BBCSport: A genius, a 'lucky' boss and a pre-match ritual.

Read why the omens look good for France to repeat their 1998 #WorldCup glor…",61,Fri Jul 13 11:36:27 +0000 2018,0.4404,0.121,0.0,0.879
61,@BBCNews,"RT @bbcweather: It's lunchtime on a Friday ...so your head is most likely already in 'the weekend'
#FridayFeeling   Matt
⬇️⬇️⬇️ https://t.c…",62,Fri Jul 13 11:30:55 +0000 2018,0.0,0.0,0.0,1.0
62,@BBCNews,How Build-A-Bear fell into its own trap https://t.co/wdkPfPhA8a,63,Fri Jul 13 11:28:39 +0000 2018,-0.3182,0.0,0.247,0.753
63,@BBCNews,Trump visit: First lady meets Chelsea Pensioners https://t.co/VY87UbOLwQ,64,Fri Jul 13 11:00:58 +0000 2018,0.0,0.0,0.0,1.0
64,@BBCNews,RT @BBCJamesCook: This roller coaster Trump tour underlines how hard it is to understand what the US wants and stands for. The president ch…,65,Fri Jul 13 11:00:58 +0000 2018,-0.1027,0.0,0.057,0.943
65,@BBCNews,"#TrumpBaby blimp appears in Parliament Square as part of a demonstration against #TrumpVisitUK

Latest coverage:… https://t.co/itLCHj8y63",66,Fri Jul 13 10:56:13 +0000 2018,0.1027,0.091,0.0,0.909
66,@BBCNews,Donald Trump: Theresa May and I have 'very strong' relationship https://t.co/LhsgB2QaN8,67,Fri Jul 13 10:48:12 +0000 2018,0.5563,0.285,0.0,0.715
67,@BBCNews,President Trump reacts to questioning about his interview with the Sun newspaper https://t.co/BlLsEwTJPE… https://t.co/GI9QqApuXh,68,Fri Jul 13 10:40:18 +0000 2018,-0.1027,0.0,0.097,0.903
68,@BBCNews,India student dies after being pushed from roof in safety drill https://t.co/E8Ru44xJP7,69,Fri Jul 13 10:36:06 +0000 2018,0.4215,0.203,0.0,0.797
69,@BBCNews,'Way to break up special relationship' https://t.co/8EcPf5T2O4,70,Fri Jul 13 10:33:44 +0000 2018,0.4019,0.31,0.0,0.69
70,@BBCNews,"""We had a dinner where I think we've probably never developed a better relationship"" - President Trump on meeting w… https://t.co/B0f5BkVcJV",71,Fri Jul 13 10:32:11 +0000 2018,-0.3412,0.0,0.131,0.869
71,@BBCNews,Critics rave about Tom Cruise's 'eye-popping' Mission Impossible film https://t.co/IRAh9LWVQI,72,Fri Jul 13 10:28:57 +0000 2018,-0.296,0.0,0.196,0.804
72,@BBCNews,Mencap wins 'unaffordable' overnight back pay appeal https://t.co/ayeilIUAml,73,Fri Jul 13 10:11:45 +0000 2018,0.5106,0.333,0.126,0.541
73,@BBCNews,RT @BBCJLandale: I understand @realDonaldTrump is expected address his @TheSun interview directly in his forthcoming news conference with @…,74,Fri Jul 13 10:05:08 +0000 2018,0.0,0.0,0.0,1.0
74,@BBCNews,"Follow the latest on #TrumpVisitUK with protests planned in London

https://t.co/UDQCY475wa https://t.co/G4qFbceg9z",75,Fri Jul 13 09:59:10 +0000 2018,-0.2263,0.0,0.147,0.853
75,@BBCNews,RT @BBCJamesCook: BREAKING President Trump has arrived at Chequers for his meeting with Theresa May. His Marine One helicopter and a second…,76,Fri Jul 13 09:58:22 +0000 2018,0.0,0.0,0.0,1.0
76,@BBCNews,RT @richard_conway: Fifa President Gianni Infantino says Thai boys rescued from the cave will be invited to attend the Fifa Best awards in…,77,Fri Jul 13 09:42:19 +0000 2018,0.875,0.333,0.0,0.667
77,@BBCNews,"RT @bbcweather: Rain may be needed, but for a few it could be a case of 'too much in too short a time'. Isolated intense thunderstorms, wit…",78,Fri Jul 13 09:33:31 +0000 2018,-0.3612,0.055,0.112,0.833
78,@BBCNews,"RT @VictoriaLIVE: ""I think I was in shock ... @realDonaldTrump said you're not too old, not too young...""

Former model, Barbara Pilling, w…",79,Fri Jul 13 09:33:18 +0000 2018,-0.3818,0.0,0.11,0.89
